"redcap_id","recruit_date","source","recruit_int_summ","ps_proj_eligible","screened","sl_status","randomized","complete","rand_proj"
"280",2021-07-11,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"281",2021-07-14,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"285",2021-07-17,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"286",2021-07-20,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"287",2021-07-22,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"289",2021-07-23,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"291",2021-07-25,"instagram","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"293",2021-07-26,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"294",2021-07-26,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"295",2021-07-26,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"296",2021-07-26,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"297",2021-07-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"301",2021-08-04,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"302",2021-08-04,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"303",2021-08-04,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"308",2021-08-09,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"309",2021-08-09,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"311",2021-08-14,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"312",2021-08-14,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"313",2021-08-14,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"314",2021-08-15,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"316",2021-08-18,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"317",2021-08-18,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"319",2021-08-18,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"321",2021-08-18,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"322",2021-08-18,"other","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"323",2021-08-19,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"326",2021-08-19,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"329",2021-08-19,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"330",2021-08-20,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"331",2021-08-20,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"332",2021-08-20,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"333",2021-08-20,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"334",2021-08-20,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"337",2021-08-21,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"338",2021-08-21,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"339",2021-08-22,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"340",2021-08-22,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"341",2021-08-22,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"344",2021-08-22,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"345",2021-08-23,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"346",2021-08-23,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"348",2021-08-23,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"350",2021-08-23,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"352",2021-08-24,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"354",2021-08-24,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"355",2021-08-24,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"357",2021-08-24,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"358",2021-08-25,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"359",2021-08-25,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"361",2021-08-25,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"362",2021-08-25,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"363",2021-08-25,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"366",2021-08-26,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"367",2021-08-26,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"368",2021-08-26,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"369",2021-08-26,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"370",2021-08-25,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"372",2021-08-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"373",2021-08-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"377",2021-08-27,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"378",2021-08-28,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"380",2021-08-28,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"381",2021-08-28,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"394",2021-08-31,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"396",2021-08-31,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"398",2021-09-01,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"399",2021-09-01,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"401",2021-09-02,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"402",2021-09-03,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"404",2021-09-04,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"405",2021-09-04,"other","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"406",2021-09-05,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"408",2021-09-05,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"409",2021-09-05,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"410",2021-09-06,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"414",2021-09-07,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"415",2021-09-07,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"416",2021-09-07,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"418",2021-09-08,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"419",2021-09-08,"clin_trials_web","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"424",2021-09-10,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"428",2021-09-11,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"429",2021-09-11,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"430",2021-09-12,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"439",2021-09-14,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"441",2021-09-14,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"442",2021-09-14,"instagram","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"447",2021-09-16,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"450",2021-09-16,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"457",2021-09-17,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"460",2021-09-18,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"466",2021-09-18,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"467",2021-09-19,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"468",2021-09-20,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"469",2021-09-20,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"470",2021-09-20,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"473",2021-09-21,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"476",2021-09-23,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"478",2021-09-23,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"480",2021-09-24,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"482",2021-09-25,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"485",2021-09-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"488",2021-09-27,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"491",2021-09-28,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"492",2021-09-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"495",2021-10-01,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"496",2021-10-02,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"498",2021-10-03,"direct_mail","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"500",2021-10-04,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"501",2021-10-04,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"502",2021-10-04,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"505",2021-10-05,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"507",2021-10-07,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"511",2021-10-12,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"512",2021-10-12,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"513",2021-10-13,"other","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"514",2021-10-14,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"515",2021-10-14,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"516",2021-10-15,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
